word,coefficient,Keep
#freethemall,3.98667223010359,0
congresswoman,2.87263552373526,1
#laurenboebertissodumb,2.46258565708183,1
ecuador,2.41152104348141,0
bobo,2.08949601136811,1
pocahontas,1.91158686693459,1
lady,1.87577826867043,1
bowling,1.82696745364721,0
#nohr3648,1.76334141224162,0
#sinemasellout,1.68537943174322,1
tornado,1.65943670932202,0
madam,1.50706525771028,1
apprehended,1.4308040019117,0
husband,1.38378591850264,1
wyoming,1.36368962488318,0
pronoun,1.33577423094991,1
paris,1.17760712431968,0
girl,1.14372649512077,1
si,1.14217003030389,0
20%,1.1034452896831,0
witch,1.04357495856186,1
iowan,1.02246518850211,0
hunter,1.02092910147067,1
plz,0.986234728095016,1
milk,0.980613421691343,1
tennessee,0.975140227825137,0
outdated,0.946891110910479,1
kayed,0.941728519294841,0
native,0.92064037738152,1
arizona,0.915668775727402,0
fentanyl,0.904688931019182,0
aoc,0.85051801603394,0
iowa,0.838037849137068,0
reminder,0.825692796554734,1
married,0.816691395235481,1
defunding,0.811146217629411,1
defund,0.80843771450651,0
progressive,0.806285804123547,1
"bill""",0.804148348352754,0
tn,0.789304262633844,0
beef,0.783033545557717,1
destiny,0.774711968760854,1
$600.00,0.773116795219991,0
crumbling,0.769484054329665,0
audio,0.760112823296404,0
st,0.754872160359686,0
unborn,0.750883245615598,1
hello,0.743505735230712,1
she,0.740466340435641,1
maine,0.723553858213332,0
her,0.722429328435253,1
m,0.721501314003667,0
sink,0.718205270585213,0
pr,0.714871667078552,0
az,0.693364345278202,0
pregnancy,0.689840332698214,1
deported,0.686553778826177,0
nebraska,0.681766225155848,0
squad,0.681305057807975,0
tear,0.667259179864561,0
ticket,0.66293367271391,0
arizonan,0.651309364329404,0
queen,0.63615362187575,1
san,0.633838957738575,0
boat,0.631401546461335,0
tuition,0.631269399495609,0
blm,0.629687151787864,0
insider,0.627279676206544,1
herself,0.625473715545788,1
indian,0.624776886255702,0
parade,0.623759438898011,0
bif,0.623340990316035,0
legalize,0.619999612509333,0
grocery,0.60418632140813,1
gender,0.603416615232907,0
miss,0.602527278318799,1
savior,0.602414328122082,1
nevada,0.596186885829277,0
"""solve""",0.594668049415952,0
frontline,0.578469883129932,0
drunk,0.572249727456598,1
mortgage,0.571821741379862,0
universe,0.569304107943398,0
crt,0.56849318800787,0
reconciliation,0.567647258089398,0
unity,0.566242481171311,1
reporter,0.565277055851252,0
bbb,0.563970132280445,0
rahm,0.556696403222401,0
tennessean,0.551236669415818,0
package,0.543372182898792,0
principal,0.542569091540628,0
#enforcethesubpoenas,0.53619799098614,0
yemeni,0.536023633915715,0
allows,0.529111660516672,0
harvard,0.519496425084193,0
honey,0.514382417563148,1
crumb,0.511464190569142,0
obstacle,0.494336940550424,0
struggling,0.491927555031008,0
w/,0.490457626115665,0
cohort,0.489446957465351,0
leverage,0.486338944580552,0
hillary,0.484517983169348,1
baby,0.481035847517383,1
aide,0.476318444349922,0
she’s,0.469571242529422,1
central,0.469064682466661,0
disappointment,0.468037055528974,1
#buildbackbetteract,0.463331415458524,0
shes,0.461757396408962,0
stock,0.458574609100114,0
foreigner,0.458445614996554,1
permanent,0.457892858682556,0
500,0.457411168765828,0
mental,0.456248837785853,1
riot,0.451997504889149,0
palestinian,0.451904845165411,0
urgent,0.451292739398796,0
song,0.448677392128801,1
wv,0.448298607484298,0
status,0.444090919971331,0
pathway,0.444058145718556,0
weight,0.443673091371918,1
dv,0.439809774669811,0
hat,0.43666207313392,1
trading,0.434227406123514,0
equity,0.431516788958452,1
thread,0.431075741654515,0
canceling,0.430815314287119,1
written,0.430084340319473,0
distract,0.418651749918833,0
fk,0.412794858281175,1
closet,0.411511613553367,1
"""we",0.408198275583121,0
hitler,0.399434597118661,1
grift,0.399045928291323,0
betrayed,0.395666377293623,0
repeatedly,0.392898022860752,0
dental,0.390603760795595,0
puerto,0.388006634850921,0
human,0.387062758853502,1
investigated,0.382691829151833,0
drain,0.374947984749988,1
worthless,0.374097198487592,1
supremacy,0.369881875363962,0
standard,0.362765349939725,0
#republicans,0.362000032392066,0
speaker,0.359131854737588,0
excuse,0.358688721643249,1
starving,0.358525314865401,1
homelessness,0.354944045392517,1
primary,0.351972843038652,0
corp,0.349628974563241,0
rico,0.348255701264661,0
