word,coefficient,Keep
sir,-2.8018967719813,1
hoosier,-2.25527708941505,0
louisiana,-2.19844559587021,0
cancun,-2.15451507115766,1
utah,-2.04567626855624,0
montana,-2.0292563787716,0
congressman,-2.02121516066137,1
mikey,-1.8802464330836,1
chuck,-1.77566411575316,1
rafael,-1.736676517029,1
montanan,-1.69655967876654,0
kev,-1.6456233915639,1
bro,-1.62340600173264,1
bernie,-1.61306517699088,0
qevin,-1.60936181054817,0
anniversary,-1.55394253560457,1
teddy,-1.53916061322224,0
fang,-1.48622234182425,1
dude,-1.46181774056792,1
#spikeinu,-1.41945462848762,1
timmy,-1.39920791562855,0
khashoggi,-1.38860815410911,0
idaho,-1.27951341733686,0
johnny,-1.27767456189849,1
dakota,-1.25731443071803,0
bird,-1.21762294954038,0
religious,-1.16051862413338,1
nc,-1.11494253008608,0
sd,-1.09199826039144,0
madison,-1.08491957920058,0
mr,-1.07356205824756,1
pa,-1.00369334317336,0
kansa,-0.977022612358442,0
wife,-0.953879411474814,1
oregon,-0.909609967179333,0
#evacuateauafalumni,-0.899333430706572,0
man,-0.897157878530862,1
traitorous,-0.882064759945256,1
recess,-0.870081738651866,0
#bidenboom,-0.861483376211718,0
alabama,-0.86136955499524,0
newsmax,-0.856336805935502,0
asshole,-0.851669638777494,1
#thankyoubrandon,-0.844377163414915,0
hedge,-0.835779145254093,0
jackass,-0.835711129439577,1
boy,-0.83227329594324,1
speedy,-0.82913250169851,0
moscow,-0.824115878878128,0
tradition,-0.822291579500115,0
indiana,-0.820749952453499,0
kansan,-0.799035741334912,0
keystone,-0.793992248211456,0
fauci,-0.791518265531872,0
nicaragua,-0.77013469108763,0
madness,-0.769615367725335,1
bastard,-0.762851997059426,1
jesse,-0.739706228700744,0
endorsed,-0.739422800694216,0
chucky,-0.72698943335444,1
football,-0.724404821137845,1
uterus,-0.722039782526414,1
#honorvetspassvotingrights,-0.701743517356027,0
spineless,-0.69397538673496,1
weasel,-0.689304440648377,1
hiding,-0.687440591468655,0
religion,-0.68500460358615,0
knock,-0.684280935992069,0
sc,-0.679467653890725,0
opec,-0.676310307808294,0
al,-0.67491605812556,0
trafficking,-0.660088286862084,0
broadband,-0.654841626378576,0
#gopbetrayedamerica,-0.654541824844113,1
🐹,-0.652856348737957,0
kentucky,-0.644109619325942,0
mar,-0.627109019583422,0
ohio,-0.622584369383848,0
texas,-0.620709918710288,0
oath,-0.614861261088519,0
texan,-0.611503802375089,0
disdain,-0.608999523495796,1
arkansas,-0.607729660209765,0
jerk,-0.605656969486485,1
buddy,-0.596971302444805,1
carolina,-0.595766917439922,0
mandated,-0.594087702564391,0
club,-0.593990624881748,1
#gopliesabouteverything,-0.593488823447184,1
economist,-0.589824063366464,0
lockdown,-0.581976507169639,0
insurrectionist,-0.578566094420242,0
chuckle,-0.576677724672978,1
meal,-0.570987881270391,1
channel,-0.568184000869475,1
impeachment,-0.567983533684169,0
eh,-0.56399597435162,0
polio,-0.56220272209956,0
practice,-0.560541001269585,0
oklahoma,-0.556811974216807,0
achieve,-0.556344986463551,0
immunity,-0.548008944173023,0
pat,-0.544638699498239,0
misleading,-0.539868281856641,0
sentiment,-0.531885578520107,1
guessed,-0.523249269058146,0
spree,-0.517314865794164,0
divided,-0.512468676128815,1
