word,coefficient,Keep
#freethemall,-3.91096431133989,0
iowa,-2.49204384507063,0
#laurenboebertissodumb,-1.94848454501005,0
tennessee,-1.859720160625,1
montana,-1.78525500971873,1
ecuador,-1.75933737182849,1
bernie,-1.67513551093454,0
anniversary,-1.65626208316356,0
nc,-1.58334691781132,1
mtg,-1.53486922471872,0
divide,-1.48000688948252,1
mikey,-1.47236169225764,0
dakota,-1.46758216654843,1
chuck,-1.44183712297909,0
maine,-1.40268121351001,1
al,-1.38616075058646,0
pa,-1.2810263134603,0
oregon,-1.27918969568748,1
louisiana,-1.27294542466395,1
july,-1.26235797001549,0
satisfied,-1.2473148240301,0
utah,-1.24469632062157,1
retire,-1.22792215349546,1
pocahontas,-1.22534989632697,0
idaho,-1.21433263672228,1
underage,-1.20976964913395,1
madison,-1.20908374176882,0
keystone,-1.18851471621959,1
iowan,-1.17532033445307,1
nh,-1.14913323585767,0
jesse,-1.14798476514393,0
#spikeinu,-1.10227531360795,1
kev,-1.08630417938739,0
bobo,-1.06823993675095,0
sack,-1.05640367478849,0
ukraine,-1.04646081913498,1
patrol,-1.04537807705289,0
cast,-1.02526116247776,0
#boycottbeijing2022,-1.02321067497374,1
crumbling,-1.01728060480869,0
montanan,-1.01297532346328,0
virginian,-0.987430829334123,0
breaking:,-0.97826689211464,0
purple,-0.976886012280794,1
tn,-0.970919345989154,0
ceiling,-0.968160502735366,0
trading,-0.963303569192884,0
fang,-0.95602334796896,1
apprehended,-0.938974076535606,0
arizona,-0.917392664193882,1
tennessean,-0.915039294843983,0
101,-0.913906443295577,0
spy,-0.9023056606128,0
recall,-0.901578975462818,0
michigan,-0.891881119840243,1
gee,-0.889263358851603,0
religious,-0.882169966665429,1
koch,-0.866677132635009,0
trafficking,-0.863616550641824,1
#sinemasellout,-0.863251736024824,0
farmer,-0.8623180834257,1
chuckle,-0.85677307445059,0
banned,-0.855415716629755,1
qevin,-0.845040172079011,0
#gopliesabouteverything,-0.844753143891751,0
colorado,-0.83333047914911,1
kansan,-0.81069540687749,0
religion,-0.807407584452695,1
pedo,-0.781056571019573,1
