word,coefficient,Keep
cancun,3.25549858907862,0
rafael,3.07448816794362,0
nicaragua,2.85028842436674,1
teddy,2.8371323247468,0
#cancuncruz,2.64403424545174,0
tornado,2.32262573882487,1
pronoun,2.32133104673563,1
#reparations,1.65502988829262,1
aoc,1.62328633595875,0
wright,1.58527455148926,0
speedy,1.45097001809255,0
squad,1.43446513104989,1
timmy,1.42384722061929,0
tradition,1.35042494607964,1
progressive,1.30448702190874,1
bird,1.26837011113673,1
leverage,1.25378470430378,1
palestinian,1.24226921146542,1
black,1.21502977186705,1
audio,1.18947551223189,0
cuba,1.16061346423527,1
parliamentarian,1.12511213972536,0
#medicareforall,1.11102174193617,1
blm,1.10252888744586,1
congresswoman,1.08330075101801,1
quoted,1.04572136546626,0
played,1.02493796589522,1
y,1.00939138645067,0
citizenship,0.991892134969133,1
fauci,0.989045994736729,1
autocracy,0.950358221416935,1
pathway,0.947761706905181,1
pr,0.945751512593333,0
daughter,0.930354055316877,1
race,0.918504867761805,1
fraudulent,0.900187514372308,1
fictitious,0.883503787181494,1
vulnerable,0.874970669669432,1
indict,0.872872794479231,1
texas,0.854755995699943,1
caved,0.849686352931438,0
#hr2920,0.847619764704607,1
mississippi,0.844864837068013,0
cruel,0.836179703301588,1
shelter,0.829721349323574,1
got-a-ways,0.807031547404527,0
african,0.787033784855049,1
essential,0.785297128710843,0
palestine,0.780174108543897,1
yemeni,0.779383384256677,1
abortion,0.776367341539855,1
se,0.77332332597968,0
madam,0.773291027839119,0
rittenhouse,0.769897155035989,1
crumb,0.762760941898641,0
anthem,0.734451298399144,0
returning,0.72864496108604,0
appointment,0.717716528406763,0
brother,0.711330382746236,1
spin,0.706114159152657,1
gdp,0.699533509515029,1
lo,0.699076703809832,0
republic,0.698321250222941,0
smh,0.697164062592409,1
married,0.686119944321557,1
basically,0.67628969558345,0
boring,0.675599579165899,1
polio,0.673528781797765,1
santa,0.672276265333752,1
cuban,0.665342378020621,1
israeli,0.657612728899549,1
financially,0.653943550006746,0
roe,0.65348427438004,1
syria,0.651220421689114,1
deaf,0.648036880493492,1
puerto,0.629727973462741,1
transformational,0.629510968529786,0
vp,0.621890850083928,0
tx,0.615392579737528,0
sellout,0.61443608386626,1
port,0.601270860998465,0
warrant,0.592050857428319,0
uncle,0.589187441237888,1
explaining,0.587334547314875,0
intel,0.58244820586187,0
hypocrisy,0.579217022487285,1
area,0.57548423091242,0
deliver,0.57448123197073,0
latino,0.569703199151199,1
traffic,0.568522523595374,1
choice,0.556295656757038,1
praying,0.555660906641177,1
private,0.553447559353314,0
drilling,0.542453981248699,1
rino,0.539971148497995,1
laid,0.537335763117166,1
#democrats,0.53305999446266,0
cave,0.530116794475849,0
spine,0.52993540509712,0
sc,0.526668659272737,0
powell,0.52500062288911,1
#republicans,0.524919139325119,0
cnn,0.51560458999671,1
b4,0.511975545097907,0
w/o,0.509386592751266,0
messaging,0.507270367124052,0
oklahoma,0.505854396299651,0
por,0.502347933925108,0
iraq,0.501226149505773,1
injured,0.499147815262972,1
frustrating,0.496128699973726,1
nyc,0.492283077509427,0
holy,0.48806628229029,1
supremacy,0.484302443289836,0
75%,0.483677883263023,0
apply,0.478556150541681,0
cancelling,0.475337825923121,0
measles,0.465732817532218,1
la,0.464101443440976,0
👆,0.463948698450828,0
decision,0.463096599164223,0
injustice,0.462142896975325,1
popular,0.461622269649023,0
amnesty,0.461399623138341,1
prevention,0.45729026167006,0
nj,0.456813510834648,0
oklahoman,0.454386299449308,0
status,0.454244856104647,0
scamming,0.452469847099081,1
guarantee,0.45244319724361,0
tiny,0.45214824466348,0
tho,0.447005252621826,0
youth,0.444572669402798,1
virus,0.442244528765839,1
winner,0.439475355723454,0
mild,0.437320398403454,0
housing,0.435841335954678,1
israel,0.435831793947216,1
group,0.435379836117303,0
slavery,0.434726183568151,1
🌹,0.434329916220928,0
st,0.43270562496135,0
tuesday,0.432592542623467,0
que,0.432588661543369,1
to:,0.43239405298652,0
8%,0.431346399073107,0
coverage,0.430813015672534,0
immigrant,0.429812188625695,1
everybody,0.427871987010282,1
🏾,0.427616141010822,0
projection,0.427286882508395,0
ethiopia,0.42615064251363,1
gerrymandering,0.425748234556528,1
